--- Atoms: 
USER_CREDIBILITY('1588') Truth=[0.97]
USER_CREDIBILITY('1585') Truth=[0.97]
USER_CREDIBILITY('1586') Truth=[0.97]
USER_CREDIBILITY('1583') Truth=[0.97]
USER_CREDIBILITY('1584') Truth=[0.97]
USER_CREDIBILITY('1581') Truth=[0.97]
USER_CREDIBILITY('1582') Truth=[0.97]
USER_CREDIBILITY('1580') Truth=[0.94]
USER_CREDIBILITY('1569') Truth=[0.96]
USER_CREDIBILITY('1578') Truth=[0.96]
USER_CREDIBILITY('1579') Truth=[0.96]
USER_CREDIBILITY('1576') Truth=[0.94]
USER_CREDIBILITY('1577') Truth=[0.96]
USER_CREDIBILITY('1574') Truth=[0.94]
USER_CREDIBILITY('1575') Truth=[0.96]
USER_CREDIBILITY('1572') Truth=[1]
USER_CREDIBILITY('1573') Truth=[0.94]
USER_CREDIBILITY('1570') Truth=[0.97]
USER_CREDIBILITY('1571') Truth=[1]
USER_CREDIBILITY('1558') Truth=[0.97]
USER_CREDIBILITY('1559') Truth=[0.97]
USER_CREDIBILITY('2889') Truth=[0.96]
USER_CREDIBILITY('1567') Truth=[0.96]
USER_CREDIBILITY('2899') Truth=[0.96]
USER_CREDIBILITY('2898') Truth=[0.96]
USER_CREDIBILITY('1568') Truth=[0.97]
USER_CREDIBILITY('1565') Truth=[0.95]
USER_CREDIBILITY('2897') Truth=[0.96]
USER_CREDIBILITY('1566') Truth=[0.96]
USER_CREDIBILITY('2896') Truth=[0.95]
USER_CREDIBILITY('1563') Truth=[0.96]
USER_CREDIBILITY('2895') Truth=[0.96]
USER_CREDIBILITY('2894') Truth=[0.97]
USER_CREDIBILITY('1564') Truth=[0.96]
USER_CREDIBILITY('1561') Truth=[0.95]
USER_CREDIBILITY('2893') Truth=[0.97]
USER_CREDIBILITY('2892') Truth=[0.97]
USER_CREDIBILITY('1562') Truth=[0.95]
USER_CREDIBILITY('2891') Truth=[0.96]
USER_CREDIBILITY('2890') Truth=[0.97]
USER_CREDIBILITY('1560') Truth=[0.96]
USER_CREDIBILITY('1549') Truth=[0.97]
USER_CREDIBILITY('1547') Truth=[0.97]
USER_CREDIBILITY('2879') Truth=[0.97]
USER_CREDIBILITY('2878') Truth=[0.96]
USER_CREDIBILITY('1548') Truth=[0.96]
USER_CREDIBILITY('1556') Truth=[0.97]
USER_CREDIBILITY('2888') Truth=[0.97]
USER_CREDIBILITY('1557') Truth=[0.97]
USER_CREDIBILITY('2887') Truth=[0.97]
USER_CREDIBILITY('1554') Truth=[0.96]
USER_CREDIBILITY('2886') Truth=[0.96]
USER_CREDIBILITY('2885') Truth=[0.97]
USER_CREDIBILITY('1555') Truth=[0.95]
USER_CREDIBILITY('1552') Truth=[0.97]
USER_CREDIBILITY('2884') Truth=[1]
USER_CREDIBILITY('1553') Truth=[0.96]
USER_CREDIBILITY('2883') Truth=[0.97]
USER_CREDIBILITY('1550') Truth=[0.97]
USER_CREDIBILITY('2882') Truth=[0.97]
USER_CREDIBILITY('1551') Truth=[0.96]
USER_CREDIBILITY('2881') Truth=[1]
USER_CREDIBILITY('2880') Truth=[0.97]
USER_CREDIBILITY('1538') Truth=[0.96]
USER_CREDIBILITY('1539') Truth=[0.96]
USER_CREDIBILITY('2869') Truth=[0.97]
USER_CREDIBILITY('1536') Truth=[0.97]
USER_CREDIBILITY('2868') Truth=[1]
USER_CREDIBILITY('1537') Truth=[1]
USER_CREDIBILITY('2867') Truth=[0.96]
USER_CREDIBILITY('1545') Truth=[0.22]
USER_CREDIBILITY('2877') Truth=[0.95]
USER_CREDIBILITY('1546') Truth=[0.22]
USER_CREDIBILITY('2876') Truth=[0.95]
USER_CREDIBILITY('1543') Truth=[0.96]
USER_CREDIBILITY('2875') Truth=[0.95]
USER_CREDIBILITY('2874') Truth=[0.95]
USER_CREDIBILITY('1544') Truth=[0.96]
USER_CREDIBILITY('1541') Truth=[0.97]
USER_CREDIBILITY('2873') Truth=[0.94]
USER_CREDIBILITY('2872') Truth=[1]
USER_CREDIBILITY('1542') Truth=[0.96]
USER_CREDIBILITY('2871') Truth=[0.96]
USER_CREDIBILITY('2870') Truth=[0.97]
USER_CREDIBILITY('1540') Truth=[0.96]
USER_CREDIBILITY('1529') Truth=[0.97]
USER_CREDIBILITY('1527') Truth=[0.97]
USER_CREDIBILITY('2859') Truth=[0.94]
USER_CREDIBILITY('2858') Truth=[0.94]
USER_CREDIBILITY('1528') Truth=[0.97]
USER_CREDIBILITY('1525') Truth=[0.97]
USER_CREDIBILITY('2857') Truth=[0.96]
USER_CREDIBILITY('2856') Truth=[0.96]
USER_CREDIBILITY('1526') Truth=[0.97]
USER_CREDIBILITY('2866') Truth=[0.95]
USER_CREDIBILITY('1534') Truth=[0.96]
USER_CREDIBILITY('1535') Truth=[0.96]
USER_CREDIBILITY('2865') Truth=[0.95]
USER_CREDIBILITY('2864') Truth=[0.95]
USER_CREDIBILITY('1532') Truth=[0.97]
USER_CREDIBILITY('1533') Truth=[0.97]
USER_CREDIBILITY('2863') Truth=[0.96]
USER_CREDIBILITY('1530') Truth=[0.97]
USER_CREDIBILITY('2862') Truth=[0.94]
USER_CREDIBILITY('2861') Truth=[0.96]
USER_CREDIBILITY('1531') Truth=[0.97]
USER_CREDIBILITY('2860') Truth=[0.94]
USER_CREDIBILITY('1518') Truth=[0.97]
USER_CREDIBILITY('2849') Truth=[0.97]
USER_CREDIBILITY('1519') Truth=[0.97]
USER_CREDIBILITY('1516') Truth=[0.97]
USER_CREDIBILITY('2848') Truth=[0.97]
USER_CREDIBILITY('2847') Truth=[0.97]
USER_CREDIBILITY('1517') Truth=[0.97]
USER_CREDIBILITY('1514') Truth=[0.95]
USER_CREDIBILITY('2846') Truth=[0.97]
USER_CREDIBILITY('2845') Truth=[1]
USER_CREDIBILITY('1515') Truth=[0.94]
USER_CREDIBILITY('1523') Truth=[0.97]
USER_CREDIBILITY('2855') Truth=[0.97]
USER_CREDIBILITY('2854') Truth=[0.97]
USER_CREDIBILITY('1524') Truth=[0.97]
USER_CREDIBILITY('1521') Truth=[0.97]
USER_CREDIBILITY('2853') Truth=[0.96]
USER_CREDIBILITY('1522') Truth=[0.97]
USER_CREDIBILITY('2852') Truth=[0.97]
USER_CREDIBILITY('2851') Truth=[0.97]
USER_CREDIBILITY('2850') Truth=[0.97]
USER_CREDIBILITY('1520') Truth=[1]
USER_CREDIBILITY('1509') Truth=[0.97]
USER_CREDIBILITY('1507') Truth=[0.97]
USER_CREDIBILITY('2839') Truth=[0.94]
USER_CREDIBILITY('2838') Truth=[0.95]
USER_CREDIBILITY('1508') Truth=[0.97]
USER_CREDIBILITY('2837') Truth=[0.97]
USER_CREDIBILITY('1505') Truth=[1]
USER_CREDIBILITY('1506') Truth=[0.97]
USER_CREDIBILITY('2836') Truth=[0.97]
USER_CREDIBILITY('1503') Truth=[0.97]
USER_CREDIBILITY('2835') Truth=[0.97]
USER_CREDIBILITY('2834') Truth=[0.97]
USER_CREDIBILITY('1504') Truth=[0.97]
USER_CREDIBILITY('1512') Truth=[0.96]
USER_CREDIBILITY('2844') Truth=[0.97]
USER_CREDIBILITY('2843') Truth=[0.97]
USER_CREDIBILITY('1513') Truth=[0.94]
USER_CREDIBILITY('1510') Truth=[0.96]
USER_CREDIBILITY('2842') Truth=[0.97]
USER_CREDIBILITY('2841') Truth=[0.96]
USER_CREDIBILITY('1511') Truth=[0.96]
USER_CREDIBILITY('2840') Truth=[0.94]
USER_CREDIBILITY('2829') Truth=[0.22]
USER_CREDIBILITY('2828') Truth=[0.94]
USER_CREDIBILITY('2827') Truth=[0.97]
USER_CREDIBILITY('2826') Truth=[0.95]
USER_CREDIBILITY('2825') Truth=[0.95]
USER_CREDIBILITY('2824') Truth=[0.95]
USER_CREDIBILITY('2823') Truth=[1]
USER_CREDIBILITY('1501') Truth=[0.96]
USER_CREDIBILITY('2833') Truth=[0.96]
USER_CREDIBILITY('2832') Truth=[0.94]
USER_CREDIBILITY('1502') Truth=[0.97]
USER_CREDIBILITY('2831') Truth=[0.94]
USER_CREDIBILITY('2830') Truth=[0.94]
USER_CREDIBILITY('1500') Truth=[0.96]
USER_CREDIBILITY('5095') Truth=[0.96]
USER_CREDIBILITY('5096') Truth=[1]
USER_CREDIBILITY('5097') Truth=[0.97]
USER_CREDIBILITY('5098') Truth=[0.96]
USER_CREDIBILITY('5099') Truth=[0.96]
USER_CREDIBILITY('2819') Truth=[0.97]
USER_CREDIBILITY('2818') Truth=[0.97]
USER_CREDIBILITY('2817') Truth=[0.97]
USER_CREDIBILITY('2816') Truth=[1]
USER_CREDIBILITY('2815') Truth=[0.97]
USER_CREDIBILITY('2814') Truth=[0.97]
USER_CREDIBILITY('2813') Truth=[0.97]
USER_CREDIBILITY('2812') Truth=[0.97]
USER_CREDIBILITY('2822') Truth=[0.97]
USER_CREDIBILITY('2821') Truth=[0.97]
USER_CREDIBILITY('2820') Truth=[0.96]
USER_CREDIBILITY('5090') Truth=[0.97]
USER_CREDIBILITY('5091') Truth=[0.97]
USER_CREDIBILITY('5092') Truth=[0.96]
USER_CREDIBILITY('5093') Truth=[0.22]
USER_CREDIBILITY('5094') Truth=[0.96]
USER_CREDIBILITY('5084') Truth=[0.94]
USER_CREDIBILITY('5085') Truth=[0.96]
USER_CREDIBILITY('5086') Truth=[0.97]
USER_CREDIBILITY('5087') Truth=[0.96]
USER_CREDIBILITY('5088') Truth=[1]
USER_CREDIBILITY('5089') Truth=[0.97]
USER_CREDIBILITY('2809') Truth=[0.96]
USER_CREDIBILITY('2808') Truth=[0.97]
USER_CREDIBILITY('2807') Truth=[0.97]
USER_CREDIBILITY('2806') Truth=[0.97]
USER_CREDIBILITY('2805') Truth=[0.97]
USER_CREDIBILITY('2804') Truth=[0.96]
USER_CREDIBILITY('2803') Truth=[0.97]
USER_CREDIBILITY('2802') Truth=[0.95]
USER_CREDIBILITY('2801') Truth=[0.95]
USER_CREDIBILITY('2811') Truth=[0.96]
USER_CREDIBILITY('2810') Truth=[0.96]
USER_CREDIBILITY('5080') Truth=[0.97]
USER_CREDIBILITY('5081') Truth=[0.97]
USER_CREDIBILITY('5082') Truth=[0.94]
USER_CREDIBILITY('5083') Truth=[0.94]
USER_CREDIBILITY('5194') Truth=[0.97]
USER_CREDIBILITY('5195') Truth=[0.97]
USER_CREDIBILITY('5196') Truth=[0.97]
USER_CREDIBILITY('5197') Truth=[0.97]
USER_CREDIBILITY('5198') Truth=[1]
USER_CREDIBILITY('5199') Truth=[0.97]
USER_CREDIBILITY('2919') Truth=[0.97]
USER_CREDIBILITY('2918') Truth=[0.97]
USER_CREDIBILITY('2917') Truth=[0.97]
USER_CREDIBILITY('2916') Truth=[0.97]
USER_CREDIBILITY('2915') Truth=[0.97]
USER_CREDIBILITY('2914') Truth=[0.97]
USER_CREDIBILITY('2913') Truth=[0.97]
USER_CREDIBILITY('2912') Truth=[0.96]
USER_CREDIBILITY('2911') Truth=[0.95]
USER_CREDIBILITY('2921') Truth=[0.97]
USER_CREDIBILITY('2920') Truth=[0.97]
USER_CREDIBILITY('5190') Truth=[0.96]
USER_CREDIBILITY('5191') Truth=[0.96]
USER_CREDIBILITY('5192') Truth=[1]
USER_CREDIBILITY('5193') Truth=[0.97]
USER_CREDIBILITY('5183') Truth=[0.96]
USER_CREDIBILITY('5184') Truth=[0.96]
USER_CREDIBILITY('5185') Truth=[1]
USER_CREDIBILITY('5186') Truth=[0.22]
USER_CREDIBILITY('5187') Truth=[0.96]
USER_CREDIBILITY('5188') Truth=[0.96]
USER_CREDIBILITY('2909') Truth=[0.95]
USER_CREDIBILITY('5189') Truth=[0.97]
USER_CREDIBILITY('2908') Truth=[0.94]
USER_CREDIBILITY('2907') Truth=[0.94]
USER_CREDIBILITY('2906') Truth=[0.96]
USER_CREDIBILITY('2905') Truth=[0.97]
USER_CREDIBILITY('2904') Truth=[0.97]
USER_CREDIBILITY('2903') Truth=[0.97]
USER_CREDIBILITY('2902') Truth=[0.97]
USER_CREDIBILITY('2901') Truth=[0.96]
USER_CREDIBILITY('2900') Truth=[0.94]
USER_CREDIBILITY('2910') Truth=[0.95]
USER_CREDIBILITY('5180') Truth=[0.97]
USER_CREDIBILITY('5181') Truth=[0.97]
USER_CREDIBILITY('5182') Truth=[0.97]
USER_CREDIBILITY('5172') Truth=[0.96]
USER_CREDIBILITY('5173') Truth=[0.91]
USER_CREDIBILITY('5174') Truth=[0.96]
USER_CREDIBILITY('5175') Truth=[1]
USER_CREDIBILITY('5176') Truth=[0.97]
USER_CREDIBILITY('5177') Truth=[0.96]
USER_CREDIBILITY('5178') Truth=[1]
USER_CREDIBILITY('5179') Truth=[0.97]
USER_CREDIBILITY('5170') Truth=[0.96]
USER_CREDIBILITY('5171') Truth=[0.96]
USER_CREDIBILITY('6492') Truth=[0.97]
USER_CREDIBILITY('5161') Truth=[0.22]
USER_CREDIBILITY('6493') Truth=[1]
USER_CREDIBILITY('5162') Truth=[0.96]
USER_CREDIBILITY('6494') Truth=[0.97]
USER_CREDIBILITY('5163') Truth=[0.95]
USER_CREDIBILITY('6495') Truth=[0.96]
USER_CREDIBILITY('5164') Truth=[0.97]
USER_CREDIBILITY('5165') Truth=[0.97]
USER_CREDIBILITY('6496') Truth=[0.22]
USER_CREDIBILITY('5166') Truth=[0.97]
USER_CREDIBILITY('6497') Truth=[1]
USER_CREDIBILITY('5167') Truth=[0.97]
USER_CREDIBILITY('6498') Truth=[0.97]
USER_CREDIBILITY('5168') Truth=[0.97]
USER_CREDIBILITY('6499') Truth=[0.97]
USER_CREDIBILITY('5169') Truth=[0.96]
USER_CREDIBILITY('6490') Truth=[0.97]
USER_CREDIBILITY('5160') Truth=[0.96]
USER_CREDIBILITY('6491') Truth=[0.97]
USER_CREDIBILITY('6481') Truth=[0.95]
USER_CREDIBILITY('5150') Truth=[0.96]
USER_CREDIBILITY('5151') Truth=[0.96]
USER_CREDIBILITY('6482') Truth=[0.95]
USER_CREDIBILITY('5152') Truth=[0.27]
USER_CREDIBILITY('6483') Truth=[0.97]
USER_CREDIBILITY('5153') Truth=[0.96]
USER_CREDIBILITY('6484') Truth=[0.97]
USER_CREDIBILITY('5154') Truth=[0.96]
USER_CREDIBILITY('6485') Truth=[0.96]
USER_CREDIBILITY('5155') Truth=[0.96]
USER_CREDIBILITY('6486') Truth=[0.97]
USER_CREDIBILITY('6487') Truth=[0.97]
USER_CREDIBILITY('5156') Truth=[0.96]
USER_CREDIBILITY('5157') Truth=[0.97]
USER_CREDIBILITY('6488') Truth=[0.97]
USER_CREDIBILITY('5158') Truth=[0.97]
USER_CREDIBILITY('6489') Truth=[0.97]
USER_CREDIBILITY('5159') Truth=[0.97]
USER_CREDIBILITY('6480') Truth=[0.95]
USER_CREDIBILITY('6470') Truth=[0.95]
USER_CREDIBILITY('5140') Truth=[0.97]
USER_CREDIBILITY('6471') Truth=[0.94]
USER_CREDIBILITY('5141') Truth=[0.96]
USER_CREDIBILITY('6472') Truth=[0.95]
USER_CREDIBILITY('5142') Truth=[0.94]
USER_CREDIBILITY('6473') Truth=[0.95]
USER_CREDIBILITY('5143') Truth=[1]
USER_CREDIBILITY('6474') Truth=[0.96]
USER_CREDIBILITY('5144') Truth=[0.94]
USER_CREDIBILITY('6475') Truth=[0.97]
USER_CREDIBILITY('5145') Truth=[0.94]
USER_CREDIBILITY('6476') Truth=[1]
USER_CREDIBILITY('5146') Truth=[0.96]
USER_CREDIBILITY('6477') Truth=[0.97]
USER_CREDIBILITY('5147') Truth=[0.96]
USER_CREDIBILITY('6478') Truth=[0.97]
USER_CREDIBILITY('5148') Truth=[0.96]
USER_CREDIBILITY('6479') Truth=[0.95]
USER_CREDIBILITY('5149') Truth=[0.96]
USER_CREDIBILITY('7791') Truth=[0.96]
USER_CREDIBILITY('7790') Truth=[0.97]
USER_CREDIBILITY('6460') Truth=[0.95]
USER_CREDIBILITY('5130') Truth=[0.96]
USER_CREDIBILITY('6461') Truth=[0.96]
USER_CREDIBILITY('7793') Truth=[0.96]
USER_CREDIBILITY('5131') Truth=[0.97]
USER_CREDIBILITY('7792') Truth=[0.97]
USER_CREDIBILITY('6462') Truth=[1]
USER_CREDIBILITY('5132') Truth=[0.95]
USER_CREDIBILITY('6463') Truth=[0.22]
USER_CREDIBILITY('7795') Truth=[0.96]
USER_CREDIBILITY('7794') Truth=[0.96]
USER_CREDIBILITY('5133') Truth=[0.95]
USER_CREDIBILITY('6464') Truth=[0.96]
USER_CREDIBILITY('5134') Truth=[0.95]
USER_CREDIBILITY('6465') Truth=[0.96]
USER_CREDIBILITY('7797') Truth=[0.94]
USER_CREDIBILITY('5135') Truth=[0.95]
USER_CREDIBILITY('7796') Truth=[0.94]
USER_CREDIBILITY('6466') Truth=[0.96]
USER_CREDIBILITY('7799') Truth=[0.96]
USER_CREDIBILITY('5136') Truth=[0.95]
USER_CREDIBILITY('6467') Truth=[0.95]
USER_CREDIBILITY('5137') Truth=[0.97]
USER_CREDIBILITY('6468') Truth=[0.96]
USER_CREDIBILITY('7798') Truth=[0.96]
USER_CREDIBILITY('5138') Truth=[0.97]
USER_CREDIBILITY('6469') Truth=[0.96]
USER_CREDIBILITY('5139') Truth=[0.97]
USER_CREDIBILITY('7780') Truth=[0.97]
USER_CREDIBILITY('6450') Truth=[0.96]
USER_CREDIBILITY('7782') Truth=[0.97]
USER_CREDIBILITY('5120') Truth=[1]
USER_CREDIBILITY('7781') Truth=[0.97]
USER_CREDIBILITY('6451') Truth=[0.97]
USER_CREDIBILITY('5121') Truth=[0.96]
USER_CREDIBILITY('7784') Truth=[0.97]
USER_CREDIBILITY('6452') Truth=[0.97]
USER_CREDIBILITY('7783') Truth=[0.97]
USER_CREDIBILITY('6453') Truth=[0.97]
USER_CREDIBILITY('5122') Truth=[0.97]
USER_CREDIBILITY('6454') Truth=[0.97]
USER_CREDIBILITY('5123') Truth=[0.96]
USER_CREDIBILITY('7786') Truth=[0.97]
USER_CREDIBILITY('5124') Truth=[0.96]
USER_CREDIBILITY('7785') Truth=[0.97]
USER_CREDIBILITY('6455') Truth=[0.96]
USER_CREDIBILITY('5125') Truth=[0.97]
USER_CREDIBILITY('6456') Truth=[0.96]
USER_CREDIBILITY('7788') Truth=[0.97]
USER_CREDIBILITY('7787') Truth=[0.97]
USER_CREDIBILITY('5126') Truth=[0.96]
USER_CREDIBILITY('6457') Truth=[0.96]
USER_CREDIBILITY('5127') Truth=[0.96]
USER_CREDIBILITY('6458') Truth=[0.96]
USER_CREDIBILITY('5128') Truth=[0.27]
USER_CREDIBILITY('7789') Truth=[0.97]
USER_CREDIBILITY('6459') Truth=[0.97]
USER_CREDIBILITY('5129') Truth=[0.97]
USER_CREDIBILITY('7771') Truth=[0.97]
USER_CREDIBILITY('7770') Truth=[0.96]
USER_CREDIBILITY('6440') Truth=[0.96]
USER_CREDIBILITY('5110') Truth=[0.95]
USER_CREDIBILITY('6441') Truth=[0.96]
USER_CREDIBILITY('7773') Truth=[0.96]
USER_CREDIBILITY('7772') Truth=[0.97]
USER_CREDIBILITY('5111') Truth=[0.95]
USER_CREDIBILITY('6442') Truth=[0.94]
USER_CREDIBILITY('6443') Truth=[0.94]
USER_CREDIBILITY('7775') Truth=[0.96]
USER_CREDIBILITY('5112') Truth=[0.97]
USER_CREDIBILITY('7774') Truth=[0.97]
USER_CREDIBILITY('5113') Truth=[0.97]
USER_CREDIBILITY('6444') Truth=[0.97]
USER_CREDIBILITY('799') Truth=[0.97]
USER_CREDIBILITY('6445') Truth=[0.97]
USER_CREDIBILITY('7777') Truth=[0.97]
USER_CREDIBILITY('5114') Truth=[0.97]
USER_CREDIBILITY('7776') Truth=[0.97]
USER_CREDIBILITY('6446') Truth=[0.97]
USER_CREDIBILITY('5115') Truth=[1]
USER_CREDIBILITY('5116') Truth=[0.97]
USER_CREDIBILITY('7779') Truth=[0.97]
USER_CREDIBILITY('6447') Truth=[0.96]
USER_CREDIBILITY('5117') Truth=[1]
USER_CREDIBILITY('7778') Truth=[0.97]
USER_CREDIBILITY('6448') Truth=[0.96]
USER_CREDIBILITY('5118') Truth=[1]
USER_CREDIBILITY('6449') Truth=[0.96]
USER_CREDIBILITY('5119') Truth=[0.96]
USER_CREDIBILITY('791') Truth=[0.27]
USER_CREDIBILITY('792') Truth=[0.96]
USER_CREDIBILITY('793') Truth=[0.97]
USER_CREDIBILITY('794') Truth=[0.97]
USER_CREDIBILITY('795') Truth=[0.96]
USER_CREDIBILITY('796') Truth=[0.95]
USER_CREDIBILITY('797') Truth=[0.95]
USER_CREDIBILITY('798') Truth=[0.96]
USER_CREDIBILITY('790') Truth=[0.22]
USER_CREDIBILITY('7760') Truth=[0.88]
USER_CREDIBILITY('6430') Truth=[0.97]
USER_CREDIBILITY('7762') Truth=[0.96]
USER_CREDIBILITY('5100') Truth=[0.97]
USER_CREDIBILITY('7761') Truth=[0.95]
USER_CREDIBILITY('6431') Truth=[1]
USER_CREDIBILITY('5101') Truth=[0.96]
USER_CREDIBILITY('7764') Truth=[0.96]
USER_CREDIBILITY('6432') Truth=[0.97]
USER_CREDIBILITY('5102') Truth=[1]
USER_CREDIBILITY('7763') Truth=[0.97]
USER_CREDIBILITY('6433') Truth=[1]
USER_CREDIBILITY('5103') Truth=[0.97]
USER_CREDIBILITY('6434') Truth=[0.97]
USER_CREDIBILITY('7766') Truth=[0.22]
USER_CREDIBILITY('7765') Truth=[0.94]
USER_CREDIBILITY('5104') Truth=[0.97]
USER_CREDIBILITY('6435') Truth=[0.97]
USER_CREDIBILITY('5105') Truth=[0.94]
USER_CREDIBILITY('7768') Truth=[0.96]
USER_CREDIBILITY('6436') Truth=[0.97]
USER_CREDIBILITY('5106') Truth=[0.96]
USER_CREDIBILITY('7767') Truth=[0.96]
USER_CREDIBILITY('6437') Truth=[0.97]
USER_CREDIBILITY('5107') Truth=[1]
USER_CREDIBILITY('6438') Truth=[0.96]
USER_CREDIBILITY('5108') Truth=[1]
USER_CREDIBILITY('6439') Truth=[0.96]
USER_CREDIBILITY('7769') Truth=[1]
USER_CREDIBILITY('5109') Truth=[0.96]
USER_CREDIBILITY('7751') Truth=[0.97]
USER_CREDIBILITY('7750') Truth=[0.97]
USER_CREDIBILITY('6420') Truth=[1]
USER_CREDIBILITY('6421') Truth=[0.97]
USER_CREDIBILITY('7753') Truth=[0.88]
USER_CREDIBILITY('7752') Truth=[0.96]
USER_CREDIBILITY('6422') Truth=[0.97]
USER_CREDIBILITY('777') Truth=[0.95]
USER_CREDIBILITY('6423') Truth=[0.97]
USER_CREDIBILITY('7755') Truth=[0.95]
USER_CREDIBILITY('778') Truth=[0.95]
USER_CREDIBILITY('7754') Truth=[1]
USER_CREDIBILITY('6424') Truth=[0.97]
USER_CREDIBILITY('779') Truth=[0.95]
USER_CREDIBILITY('6425') Truth=[0.97]
USER_CREDIBILITY('7757') Truth=[0.95]
USER_CREDIBILITY('7756') Truth=[0.96]
USER_CREDIBILITY('6426') Truth=[0.97]
USER_CREDIBILITY('6427') Truth=[0.97]
USER_CREDIBILITY('7759') Truth=[0.95]
USER_CREDIBILITY('7758') Truth=[0.96]
USER_CREDIBILITY('6428') Truth=[0.97]
USER_CREDIBILITY('6429') Truth=[0.97]
USER_CREDIBILITY('770') Truth=[0.94]
USER_CREDIBILITY('771') Truth=[0.94]
USER_CREDIBILITY('772') Truth=[0.94]
USER_CREDIBILITY('773') Truth=[0.96]
USER_CREDIBILITY('774') Truth=[0.96]
USER_CREDIBILITY('775') Truth=[0.96]
USER_CREDIBILITY('776') Truth=[0.22]
USER_CREDIBILITY('7740') Truth=[0.96]
USER_CREDIBILITY('6410') Truth=[0.22]
USER_CREDIBILITY('7742') Truth=[0.96]
USER_CREDIBILITY('6411') Truth=[0.97]
USER_CREDIBILITY('7741') Truth=[0.96]
USER_CREDIBILITY('7744') Truth=[0.96]
USER_CREDIBILITY('6412') Truth=[0.96]
USER_CREDIBILITY('788') Truth=[0.22]
USER_CREDIBILITY('6413') Truth=[1]
USER_CREDIBILITY('7743') Truth=[0.97]
USER_CREDIBILITY('789') Truth=[0.22]
USER_CREDIBILITY('6414') Truth=[0.97]
USER_CREDIBILITY('7746') Truth=[0.96]
USER_CREDIBILITY('7745') Truth=[0.96]
USER_CREDIBILITY('6415') Truth=[0.97]
USER_CREDIBILITY('6416') Truth=[0.97]
USER_CREDIBILITY('7748') Truth=[0.97]
USER_CREDIBILITY('7747') Truth=[0.97]
USER_CREDIBILITY('6417') Truth=[0.97]
USER_CREDIBILITY('6418') Truth=[0.97]
USER_CREDIBILITY('7749') Truth=[0.97]
USER_CREDIBILITY('6419') Truth=[0.97]
USER_CREDIBILITY('6409') Truth=[0.22]
USER_CREDIBILITY('780') Truth=[0.95]
USER_CREDIBILITY('781') Truth=[0.95]
USER_CREDIBILITY('782') Truth=[0.97]
USER_CREDIBILITY('783') Truth=[0.96]
USER_CREDIBILITY('784') Truth=[0.95]
USER_CREDIBILITY('785') Truth=[0.96]
USER_CREDIBILITY('786') Truth=[0.96]
USER_CREDIBILITY('787') Truth=[0.96]
USER_CREDIBILITY('7731') Truth=[0.97]
USER_CREDIBILITY('7730') Truth=[0.97]
USER_CREDIBILITY('6400') Truth=[0.97]
USER_CREDIBILITY('755') Truth=[0.96]
USER_CREDIBILITY('6401') Truth=[0.97]
USER_CREDIBILITY('7733') Truth=[0.97]
USER_CREDIBILITY('756') Truth=[0.96]
USER_CREDIBILITY('7732') Truth=[0.97]
USER_CREDIBILITY('6402') Truth=[0.97]
USER_CREDIBILITY('757') Truth=[0.96]
USER_CREDIBILITY('6403') Truth=[1]
USER_CREDIBILITY('7735') Truth=[0.96]
